DESC PRODUTO;COD BARRAS;COD UNIDADE;VLR CUSTO BRUTO;VLR VENDA 1;QTD ESTOQUE;DATA ALTERACAO;FLG ATIVO;COD EMP
PRATO BOMPACK  21CM C/10 UN;7898921460903;UN;0;0,01;0;14/12/2016;N;1
PRATO BOMPACK  26CM C/10 UN;7898921460910;UN;0;0,01;0;14/12/2016;N;1
PRATO BOMPACK 15CM AZUL C/10;7898921468572;UN;0;0,01;0;14/12/2016;N;1
PRATO BOMPACK 15CM ROSA C/10;7898921468589;UN;0;0,01;0;14/12/2016;N;1
PRENDEDOR DE ROUPA EMBORRACHADO BOMPACK C/12;7898921460286;UN;0;0,01;0;14/12/2016;N;1
PRENDEDOR DE ROUPA MADEIRA BOMPACK C/12;7898416309496;UN;0;0,01;0;14/12/2016;N;1
PRESUNTO COZ FAT JCW 150G;7898239600510;UN;2,81;0,01;10;14/12/2016;N;1
QUEIJO MUSSARELA FAT LATELLI 150G;7898168040340;UN;3,55;0,01;10;14/12/2016;S;1
QUEIJO PRATO FAT LATELLI 150G;7898168040333;UN;3,55;0,01;10;14/12/2016;S;1
RAYSLOF BIG APPLE 900ML;7898080663474;UND;8,8;11,99;0;14/10/2016;S;1
RAYSLOF FRUTAS VERMELHAS 900ML;7898080662828;UND;7,6;10,9;0;11/10/2016;S;1
RAYSLOF VODKA TRADICIONAL 900ML;7898080661548;UND;7,9;10,9;0;13/10/2016;S;1
RED BULL ENERGY DRINK 250ML;611269991000;UND;5,89;7,95;0;12/10/2016;S;1
RED BULL ENERGY DRINK 473ML;9002490214166;UND;10,39;13,99;0;12/10/2016;S;1
RODO BOMPACK C/CABO 30CM;7898921468695;UN;0;0,01;0;14/12/2016;N;1
RODO BOMPACK C/CABO 40CM;7898921468763;UN;0;0,01;0;14/12/2016;N;1
RUM BACARDI BIG APPLE 750ML;7891125064502;UND;19,95;34,9;0;11/10/2016;S;1
SACO  DE LIXO BOMPACK 100LT ROLL AZUL C/FITA C/25;7898416300110;UN;0;0,01;0;14/12/2016;N;1
SACO  DE LIXO BOMPACK 15LT ROLL AZUL C/FITA C/100;7898416300080;UN;0;0,01;0;14/12/2016;N;1
SACO  DE LIXO BOMPACK 30LT ROLL AZUL C/FITA C/50;7898416300097;UN;0;0,01;0;14/12/2016;N;1
SACO  DE LIXO BOMPACK 50LT ROLL AZUL C/FITA C/50;7898416300103;UN;0;0,01;0;14/12/2016;N;1
SACO ASSADOFACIL BLUFORTE 30X0.41 C/5;7898182803020;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO BOMPACK 100LT FORTE REFORCADO PRETO C/5;7898416300264;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO BOMPACK 150LT FORTE REFORCADO PRETO C/05;7898416300271;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO BOMPACK 200LT FORTE REFORCADO PRETO C/5;7898416301001;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO BOMPACK 50LT FORTE REFORCADO PRETO C/10;7898416300257;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO EMBRAST  100LT  ECONOMICO C/05;7898416300240;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO EMBRAST  15LT  ECONOMICO C/20;7898416300219;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO EMBRAST  30LT  ECONOMICO C/10;7898416300226;UN;0;0,01;0;14/12/2016;N;1
SACO DE LIXO EMBRAST  50LT  ECONOMICO C/10;7898416300233;UN;0;0,01;0;14/12/2016;N;1
SACO FREEZER BLUFORTE 2KG 20X35 C/50;7898182801125;UN;0;0,01;0;14/12/2016;N;1
SACO FREEZER BLUFORTE 3KG 23X38 C/50;7898182801026;UN;0;0,01;0;14/12/2016;N;1
SACO FREEZER BLUFORTE 5KG 28X42 C/50;7898182801040;UN;0;0,01;0;14/12/2016;N;1
SACOLA ROLO TRANSP. VOLTE SEMPRE 34X50 C/500;005;UN;0;0,01;0;14/12/2016;N;1
SACOLA VOLTE SEMPRE  40X50 C/1000;006;UN;0;0,01;0;14/12/2016;N;1
SACOLEIRA PRETA 40X50 C/LOGO C/1;007;UN;0;0,01;0;14/12/2016;N;1
SAL GROSSO ZIZO 1KG;7898102710100;UN;0,9;0,01;60;14/12/2016;N;1
SAL REFINADO ZIZO 1KG;7898102710032;UN;0,9;0,01;30;14/12/2016;N;1
SALAME ITALIANO FAT MAJESTADE 100G;7897329200029;UN;5;0,01;10;14/12/2016;N;1
SALAME ITALIANO INT MAJESTADE;7897329200012;UN;23,97;0,01;5;14/12/2016;N;1
SALSICHA PETITOSA ODERICH LT 180G;7896041132014;UND;2,22;3,15;0;12/10/2016;S;1
SCHIN GUARANA PET 2L;7896052600076;UND;3,24;4,49;0;11/10/2016;S;1
SCHIN LARANJA PET 2L;7896052600090;UND;3,29;4,49;0;11/10/2016;S;1
SCHIN LATA 350ML;7896052605279;UND;1,48;1,99;0;14/12/2016;S;1
SCHIN LATA 473ML;7896052605316;UND;1,73;2,49;0;14/12/2016;S;1
SILICONE PROAUTO SECAGEM RAPIDA 120ML;7896189223025;UND;3,67;5,99;0;12/10/2016;S;1
SKOL LATA 350ML;7891149200504;UND;1,66;2,49;0;14/12/2016;S;1
SMIRNOFF ICE LN 275ML;7893218000107;UND;4,28;5,49;0;12/10/2016;S;1
SMIRNOFF STORM LATA 269ML;7893218003436;UND;3,4;3,49;0;13/10/2016;S;1
SMIRNOFF VODKA 1L;7893218000473;UND;27,9;37,9;0;13/10/2016;S;1
SPRITE PET 2L;7894900061512;UND;4,14;5,75;0;11/10/2016;S;1
STEAK FRANGO SEARA 100G;7894904003495;UN;0,93;0,01;72;14/12/2016;N;1
STELLA ARTOIS LN 275ML;7891149101900;UND;3,12;3,99;0;14/12/2016;S;1
SUFRESH LITRO ABACAXI 1L;7898192034056;UND;3,7;4,99;0;12/10/2016;S;1
SUFRESH LITRO MANGA 1L;7898192034520;UND;3,7;4,99;0;12/10/2016;S;1
SUFRESH LITRO MORANGO 1L;7898192031833;UND;3,7;4,99;0;12/10/2016;S;1
SUFRESH LITRO UVA 1L;7898192030614;UND;3,7;4,99;0;12/10/2016;S;1
SUPER PANAO ALKLIN ALVEJADO 60X90;7897750776155;UN;0;0,01;0;14/12/2016;N;1
TACA STRAW. CHAMPAGNE CRISTAL 220ML C/4;7898202611604;UN;0;0,01;0;14/12/2016;N;1
TEMP QUERO ALHO E SAL300GR;7896102509083;UN;2,19;0,01;24;14/12/2016;N;1
TEMP QUERO COMPLETO C/PIMENTA 300GR;7896102509076;UN;2,19;0,01;24;14/12/2016;N;1
TEMP QUERO COMPLETO S/PIMENTA 300GR;7896102509069;UN;2,19;0,01;24;14/12/2016;N;1
TEMP ROTA DO SOL S/PIMENTA 4.4KG;7896829010114;UN;19,9;0,01;2;14/12/2016;N;1
TEMP SABOR AMI S/PIMENTA 5KG;7891132002023;UN;33,9;0,01;2;14/12/2016;N;1
TRAKINAS CHOC CHOC BRANCO 136G;7622300741297;UND;1,79;2,49;0;12/10/2016;S;1
TRAKINAS CHOCOLATE 136G;7622300741013;UND;1,79;2,49;0;12/10/2016;S;1
VASSOURA LIMPATUDO C/CABO BOMPACK;7898921468633;UN;0;0,01;0;14/12/2016;N;1
VASSOURA VARRESEMPRE C/CABO BOMPACK;7898921468640;UN;0;0,01;0;14/12/2016;N;1
VELA ANIVERSARIO ESTRELINHA MAGICA;7896901600820;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 0 AZUL;7896901617682;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 0 ROSA;7896901617880;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 1 AZUL;7896901617699;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 1 ROSA;7896901617897;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 2 AZUL;7896901617705;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 2 ROSA;7896901617903;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 3 AZUL;7896901617712;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 3 ROSA;7896901617910;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 4 AZUL;7896901617729;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 4 ROSA;7896901617927;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 5 AZUL;7896901617736;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 5 ROSA;7896901617934;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 6 AZUL;7896901617743;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 6 ROSA;7896901617941;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 7 AZUL;7896901617750;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 7 ROSA;7896901617958;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 8 AZUL;7896901617767;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 8 ROSA;7896901617965;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 9 AZUL;7896901617774;UN;0;0,01;0;14/12/2016;N;1
VELA SUPERNUMEROS C/GLITER N 9 ROSA;7896901617972;UN;0;0,01;0;14/12/2016;N;1
VINAGRE ALCOOL HEINIG 900ML;7896383300096;UN;1,1;0,01;60;14/12/2016;N;1
VODKA BLANKITA 900ML;7898080660619;UND;9,2;12,49;0;13/10/2016;S;1
VODKA INTECION 900ML;7898080662330;UND;16;21,9;0;13/10/2016;S;1
VODKA KOROLEWA 1750ML;7898080663467;UND;18,9;28,95;0;13/10/2016;S;1
VODKA NATASHA 1L;7891125063000;UND;11,95;15,99;0;13/10/2016;S;1
VODKA ORLOFF 1L;7891050000903;UND;20,98;27,9;0;13/10/2016;S;1
VODKA SKYY 1L;7896010004007;UND;26,99;39,9;0;13/10/2016;S;1
YPIOCA FOGOSANTO 965ML;7896383730145;UND;16;20,75;0;13/10/2016;S;1
